Processing generation 145000; best fitness = 1.15302103682
Processing generation 146000; best fitness = 1.15338494475
Processing generation 147000; best fitness = 1.15341051444
Processing generation 148000; best fitness = 1.15417706431
Processing generation 149000; best fitness = 1.15519684246
Processing generation 150000; best fitness = 1.15656002303
Processing generation 151000; best fitness = 1.15658502565
Processing generation 152000; best fitness = 1.15665165579
Processing generation 153000; best fitness = 1.15667778739
Processing generation 154000; best fitness = 1.15688260152
Processing generation 155000; best fitness = 1.15779594109
Processing generation 156000; best fitness = 1.15841389787
Processing generation 157000; best fitness = 1.15933642506
Processing generation 158000; best fitness = 1.15935702037
Processing generation 159000; best fitness = 1.15944595838
Processing generation 160000; best fitness = 1.16034131463
Processing generation 161000; best fitness = 1.16126808079
Processing generation 162000; best fitness = 1.16192123895
Processing generation 163000; best fitness = 1.16216486018
Processing generation 164000; best fitness = 1.16248515544
Processing generation 165000; best fitness = 1.16302232196
Processing generation 166000; best fitness = 1.16337488731
Processing generation 167000; best fitness = 1.1643953708
Processing generation 168000; best fitness = 1.16452639087
Processing generation 169000; best fitness = 1.16545787468
Processing generation 170000; best fitness = 1.16564486519
Processing generation 171000; best fitness = 1.16575369315
Processing generation 172000; best fitness = 1.16641518705
Processing generation 173000; best fitness = 1.16670109027
Processing generation 174000; best fitness = 1.16681642996
Processing generation 175000; best fitness = 1.16733661447
Processing generation 176000; best fitness = 1.16765627923
Processing generation 177000; best fitness = 1.16767231344
Processing generation 178000; best fitness = 1.16841130376
Processing generation 179000; best fitness = 1.1688239738
Processing generation 180000; best fitness = 1.16908242451
Processing generation 181000; best fitness = 1.16915927786
Processing generation 182000; best fitness = 1.16951769
Processing generation 183000; best fitness = 1.16992758536
Processing generation 184000; best fitness = 1.17044584676
Processing generation 185000; best fitness = 1.17058718682
Processing generation 186000; best fitness = 1.17068544744
Processing generation 187000; best fitness = 1.1709393761
Processing generation 188000; best fitness = 1.17170327438
Processing generation 189000; best fitness = 1.17175000386
Processing generation 190000; best fitness = 1.17190171007
Processing generation 191000; best fitness = 1.17250949579
Processing generation 192000; best fitness = 1.17308055541
Processing generation 193000; best fitness = 1.1738686444
Processing generation 194000; best fitness = 1.17426468764
Processing generation 195000; best fitness = 1.17480297273
Processing generation 196000; best fitness = 1.17540945273
Processing generation 197000; best fitness = 1.17580048052
Processing generation 198000; best fitness = 1.17622361281
Processing generation 199000; best fitness = 1.17671542323
Processing generation 200000; best fitness = 1.17674021893
Processing generation 201000; best fitness = 1.17796397741
Processing generation 202000; best fitness = 1.17812927816
Processing generation 203000; best fitness = 1.17898155891
Processing generation 204000; best fitness = 1.1792902156
Processing generation 205000; best fitness = 1.17953354963
Processing generation 206000; best fitness = 1.17966948193
Processing generation 207000; best fitness = 1.18001891599
Processing generation 208000; best fitness = 1.18012298484
Processing generation 209000; best fitness = 1.18040462741
Processing generation 210000; best fitness = 1.18067558827
Processing generation 211000; best fitness = 1.18090904408
Processing generation 212000; best fitness = 1.18104529647
Processing generation 213000; best fitness = 1.18136588363
Processing generation 214000; best fitness = 1.18172753113
Processing generation 215000; best fitness = 1.18188781564
Processing generation 216000; best fitness = 1.18190184187
Processing generation 217000; best fitness = 1.18198287833
Processing generation 218000; best fitness = 1.18210177525
Processing generation 219000; best fitness = 1.18218162375
Processing generation 220000; best fitness = 1.18244566519
Processing generation 221000; best fitness = 1.18247603454
Processing generation 222000; best fitness = 1.18251143343
Processing generation 223000; best fitness = 1.18255641953
Processing generation 224000; best fitness = 1.18319814695
Processing generation 225000; best fitness = 1.18353964641
Processing generation 226000; best fitness = 1.18358450706
Processing generation 227000; best fitness = 1.18415446601
Processing generation 228000; best fitness = 1.18426647007
Processing generation 229000; best fitness = 1.18448732145
Processing generation 230000; best fitness = 1.18459778406
Processing generation 231000; best fitness = 1.18608722107
Processing generation 232000; best fitness = 1.18622959637
Processing generation 233000; best fitness = 1.18635870911
Processing generation 234000; best fitness = 1.18662589958
Processing generation 235000; best fitness = 1.18671139338
Processing generation 236000; best fitness = 1.18757616815
Processing generation 237000; best fitness = 1.18760565776
Processing generation 238000; best fitness = 1.18779277754
Processing generation 239000; best fitness = 1.18859865129
Processing generation 240000; best fitness = 1.18862006491
Processing generation 241000; best fitness = 1.18862924449
Processing generation 242000; best fitness = 1.18886281239
Processing generation 243000; best fitness = 1.18898484285
Processing generation 244000; best fitness = 1.18899740548
Processing generation 245000; best fitness = 1.18908560374
Processing generation 246000; best fitness = 1.18931980975
Processing generation 247000; best fitness = 1.18941838049
Processing generation 248000; best fitness = 1.18954481397
Processing generation 249000; best fitness = 1.18960510157
Processing generation 250000; best fitness = 1.18964169144
Processing generation 251000; best fitness = 1.18967862108
Processing generation 252000; best fitness = 1.18967985241
Processing generation 253000; best fitness = 1.19011644113
Processing generation 254000; best fitness = 1.19034552025
Processing generation 255000; best fitness = 1.19053162985
Processing generation 256000; best fitness = 1.1907250667
Processing generation 257000; best fitness = 1.19084319385
Processing generation 258000; best fitness = 1.19084470182
Processing generation 259000; best fitness = 1.19105369864
Processing generation 260000; best fitness = 1.19117330112
Processing generation 261000; best fitness = 1.19160990154
Processing generation 262000; best fitness = 1.19173659921
Processing generation 263000; best fitness = 1.19198805281
Processing generation 264000; best fitness = 1.1922018024
Processing generation 265000; best fitness = 1.19247644353
Processing generation 266000; best fitness = 1.1925728618
Processing generation 267000; best fitness = 1.19264044361
Processing generation 268000; best fitness = 1.19267243971
Processing generation 269000; best fitness = 1.1931887072
Processing generation 270000; best fitness = 1.19325532611
Processing generation 271000; best fitness = 1.19422561575
Processing generation 272000; best fitness = 1.19451985904
Processing generation 273000; best fitness = 1.19472599256
Processing generation 274000; best fitness = 1.19472599256
Processing generation 275000; best fitness = 1.19474058228
Processing generation 276000; best fitness = 1.19479509293
Processing generation 277000; best fitness = 1.19482707698
Processing generation 278000; best fitness = 1.19512436235
Processing generation 279000; best fitness = 1.19512640992
Processing generation 280000; best fitness = 1.19523314756
Processing generation 281000; best fitness = 1.19587160192
Processing generation 282000; best fitness = 1.19588968681
Processing generation 283000; best fitness = 1.19592732242
Processing generation 284000; best fitness = 1.19592915136
Processing generation 285000; best fitness = 1.19594995286
Processing generation 286000; best fitness = 1.19601235517
Processing generation 287000; best fitness = 1.19604182132
Processing generation 288000; best fitness = 1.19649415484
Processing generation 289000; best fitness = 1.19651703091
Processing generation 290000; best fitness = 1.19676316884
Processing generation 291000; best fitness = 1.19688659316
Processing generation 292000; best fitness = 1.19691547171
Processing generation 293000; best fitness = 1.19739729076
Processing generation 294000; best fitness = 1.19744805501
Processing generation 295000; best fitness = 1.19747565428
Processing generation 296000; best fitness = 1.19748490406
Processing generation 297000; best fitness = 1.19750975253
Processing generation 298000; best fitness = 1.19788818064
Processing generation 299000; best fitness = 1.19788818064
Processing generation 300000; best fitness = 1.19802049459
Processing generation 301000; best fitness = 1.19817150805
Processing generation 302000; best fitness = 1.19821297152
Processing generation 303000; best fitness = 1.19927960519
Processing generation 304000; best fitness = 1.19935020918
Processing generation 305000; best fitness = 1.1995083798
Processing generation 306000; best fitness = 1.19965619019
Processing generation 307000; best fitness = 1.19983141607
Processing generation 308000; best fitness = 1.19983141607
Processing generation 309000; best fitness = 1.19995349714
Processing generation 310000; best fitness = 1.19995484545
Processing generation 311000; best fitness = 1.20006959881
Processing generation 312000; best fitness = 1.20021435805
Processing generation 313000; best fitness = 1.20030314294
Processing generation 314000; best fitness = 1.20031274306
Processing generation 315000; best fitness = 1.20038755505
Processing generation 316000; best fitness = 1.20055796088
Processing generation 317000; best fitness = 1.2005919101
Processing generation 318000; best fitness = 1.20061479562
Processing generation 319000; best fitness = 1.20063849899
Processing generation 320000; best fitness = 1.20104095779
Processing generation 321000; best fitness = 1.20107410094
Processing generation 322000; best fitness = 1.20113837823
Processing generation 323000; best fitness = 1.20113837823
Processing generation 324000; best fitness = 1.20129291328
Processing generation 325000; best fitness = 1.2014543412
Processing generation 326000; best fitness = 1.20151827491
Processing generation 327000; best fitness = 1.20166411315
Processing generation 328000; best fitness = 1.2016871354
Processing generation 329000; best fitness = 1.20173891124
Processing generation 330000; best fitness = 1.20179239301
Processing generation 331000; best fitness = 1.20179598433
Processing generation 332000; best fitness = 1.20183279917
Processing generation 333000; best fitness = 1.20214591182
Processing generation 334000; best fitness = 1.20254913203
Processing generation 335000; best fitness = 1.20254913203
Processing generation 336000; best fitness = 1.2044260564
Processing generation 337000; best fitness = 1.20458467252
Processing generation 338000; best fitness = 1.20463688006
Processing generation 339000; best fitness = 1.20525067371
Processing generation 340000; best fitness = 1.20528208198
Processing generation 341000; best fitness = 1.20528208198
Processing generation 342000; best fitness = 1.20541410016
Processing generation 343000; best fitness = 1.20542883582
Processing generation 344000; best fitness = 1.20562284068
Processing generation 345000; best fitness = 1.20566049556
Processing generation 346000; best fitness = 1.20568772683
