Processing generation 145000; best fitness = 1.10167540378
Processing generation 146000; best fitness = 1.10177276389
Processing generation 147000; best fitness = 1.10246515779
Processing generation 148000; best fitness = 1.10329863258
Processing generation 149000; best fitness = 1.10329863258
Processing generation 150000; best fitness = 1.10329863258
Processing generation 151000; best fitness = 1.10329863258
Processing generation 152000; best fitness = 1.10333991931
Processing generation 153000; best fitness = 1.10336102091
Processing generation 154000; best fitness = 1.10336102091
Processing generation 155000; best fitness = 1.10336102091
Processing generation 156000; best fitness = 1.10336102091
Processing generation 157000; best fitness = 1.10336102091
Processing generation 158000; best fitness = 1.10336102091
Processing generation 159000; best fitness = 1.10336102091
Processing generation 160000; best fitness = 1.10347639233
Processing generation 161000; best fitness = 1.10347639233
Processing generation 162000; best fitness = 1.10348603827
Processing generation 163000; best fitness = 1.10349299679
Processing generation 164000; best fitness = 1.10371335194
Processing generation 165000; best fitness = 1.10482788986
Processing generation 166000; best fitness = 1.106202828
Processing generation 167000; best fitness = 1.10664680179
Processing generation 168000; best fitness = 1.10665250533
Processing generation 169000; best fitness = 1.10690783091
Processing generation 170000; best fitness = 1.10692780542
Processing generation 171000; best fitness = 1.10789169327
Processing generation 172000; best fitness = 1.1081951353
Processing generation 173000; best fitness = 1.10933501299
Processing generation 174000; best fitness = 1.1093561028
Processing generation 175000; best fitness = 1.10935967729
Processing generation 176000; best fitness = 1.10935967729
Processing generation 177000; best fitness = 1.10938698429
Processing generation 178000; best fitness = 1.10938698429
Processing generation 179000; best fitness = 1.10939389804
Processing generation 180000; best fitness = 1.109723135
Processing generation 181000; best fitness = 1.10972967565
Processing generation 182000; best fitness = 1.10973708298
Processing generation 183000; best fitness = 1.10979056291
Processing generation 184000; best fitness = 1.10979056291
Processing generation 185000; best fitness = 1.10979056291
Processing generation 186000; best fitness = 1.10979056291
Processing generation 187000; best fitness = 1.11001379637
Processing generation 188000; best fitness = 1.11001379637
Processing generation 189000; best fitness = 1.11001379637
Processing generation 190000; best fitness = 1.11036367592
Processing generation 191000; best fitness = 1.11040950215
Processing generation 192000; best fitness = 1.11040950215
Processing generation 193000; best fitness = 1.11041462192
Processing generation 194000; best fitness = 1.11041545561
Processing generation 195000; best fitness = 1.11068887614
Processing generation 196000; best fitness = 1.11069266817
Processing generation 197000; best fitness = 1.11123201487
Processing generation 198000; best fitness = 1.11123201487
Processing generation 199000; best fitness = 1.11169786496
Processing generation 200000; best fitness = 1.11169786496
Processing generation 201000; best fitness = 1.11169786496
Processing generation 202000; best fitness = 1.11169786496
Processing generation 203000; best fitness = 1.11170438013
Processing generation 204000; best fitness = 1.11171599693
Processing generation 205000; best fitness = 1.11171599693
Processing generation 206000; best fitness = 1.11171599693
Processing generation 207000; best fitness = 1.11171656213
Processing generation 208000; best fitness = 1.11171656213
Processing generation 209000; best fitness = 1.11172240855
Processing generation 210000; best fitness = 1.11172651245
Processing generation 211000; best fitness = 1.11172651245
Processing generation 212000; best fitness = 1.11235460742
Processing generation 213000; best fitness = 1.11235460742
Processing generation 214000; best fitness = 1.11246984051
Processing generation 215000; best fitness = 1.11246984051
Processing generation 216000; best fitness = 1.11254681077
Processing generation 217000; best fitness = 1.11255434968
Processing generation 218000; best fitness = 1.11255492468
Processing generation 219000; best fitness = 1.11255492468
Processing generation 220000; best fitness = 1.11255492468
Processing generation 221000; best fitness = 1.11265666293
Processing generation 222000; best fitness = 1.11266601973
Processing generation 223000; best fitness = 1.11266601973
Processing generation 224000; best fitness = 1.11266601973
Processing generation 225000; best fitness = 1.11266601973
Processing generation 226000; best fitness = 1.1126936266
Processing generation 227000; best fitness = 1.1126936266
Processing generation 228000; best fitness = 1.11270534956
Processing generation 229000; best fitness = 1.11270534956
Processing generation 230000; best fitness = 1.11270534956
Processing generation 231000; best fitness = 1.11270534956
Processing generation 232000; best fitness = 1.11270534956
Processing generation 233000; best fitness = 1.11281040504
Processing generation 234000; best fitness = 1.11281040504
Processing generation 235000; best fitness = 1.11281040504
Processing generation 236000; best fitness = 1.11285073157
Processing generation 237000; best fitness = 1.11285073157
Processing generation 238000; best fitness = 1.11285073157
Processing generation 239000; best fitness = 1.11285073157
Processing generation 240000; best fitness = 1.11285073157
Processing generation 241000; best fitness = 1.11285073157
Processing generation 242000; best fitness = 1.11285073157
