Processing generation 145000; best fitness = 0.68054751603
Processing generation 146000; best fitness = 0.680720527381
Processing generation 147000; best fitness = 0.6808124431
Processing generation 148000; best fitness = 0.680933802586
Processing generation 149000; best fitness = 0.681209649622
Processing generation 150000; best fitness = 0.681837915285
Processing generation 151000; best fitness = 0.681910976955
Processing generation 152000; best fitness = 0.681974718607
Processing generation 153000; best fitness = 0.682057208313
Processing generation 154000; best fitness = 0.682127900242
Processing generation 155000; best fitness = 0.682199012621
Processing generation 156000; best fitness = 0.682347847071
Processing generation 157000; best fitness = 0.682424388707
Processing generation 158000; best fitness = 0.682766675557
Processing generation 159000; best fitness = 0.682931794019
Processing generation 160000; best fitness = 0.682951500477
Processing generation 161000; best fitness = 0.683273324285
Processing generation 162000; best fitness = 0.683403335209
Processing generation 163000; best fitness = 0.683403498721
Processing generation 164000; best fitness = 0.683412371231
Processing generation 165000; best fitness = 0.683490944026
Processing generation 166000; best fitness = 0.683544144741
Processing generation 167000; best fitness = 0.68357109242
Processing generation 168000; best fitness = 0.683660158627
Processing generation 169000; best fitness = 0.683662452517
Processing generation 170000; best fitness = 0.683692765129
Processing generation 171000; best fitness = 0.683709194111
Processing generation 172000; best fitness = 0.683763442355
Processing generation 173000; best fitness = 0.683765048895
Processing generation 174000; best fitness = 0.683782324353
Processing generation 175000; best fitness = 0.685669293956
Processing generation 176000; best fitness = 0.685675715935
Processing generation 177000; best fitness = 0.685701013639
Processing generation 178000; best fitness = 0.685758670538
Processing generation 179000; best fitness = 0.685777092059
Processing generation 180000; best fitness = 0.685796927677
Processing generation 181000; best fitness = 0.685978431822
Processing generation 182000; best fitness = 0.685988242599
Processing generation 183000; best fitness = 0.685990003191
Processing generation 184000; best fitness = 0.685994106581
Processing generation 185000; best fitness = 0.686032497707
Processing generation 186000; best fitness = 0.686154349946
Processing generation 187000; best fitness = 0.686186419892
Processing generation 188000; best fitness = 0.686197403297
Processing generation 189000; best fitness = 0.686281534838
Processing generation 190000; best fitness = 0.686514705815
Processing generation 191000; best fitness = 0.686516113779
Processing generation 192000; best fitness = 0.686522612338
Processing generation 193000; best fitness = 0.686743994009
Processing generation 194000; best fitness = 0.686812968792
Processing generation 195000; best fitness = 0.686870517156
Processing generation 196000; best fitness = 0.687149879902
Processing generation 197000; best fitness = 0.687419807204
Processing generation 198000; best fitness = 0.687904620576
Processing generation 199000; best fitness = 0.688497217187
Processing generation 200000; best fitness = 0.688894639613
Processing generation 201000; best fitness = 0.690073175212
Processing generation 202000; best fitness = 0.6902018953
Processing generation 203000; best fitness = 0.690261524348
Processing generation 204000; best fitness = 0.690278158735
Processing generation 205000; best fitness = 0.690300014377
Processing generation 206000; best fitness = 0.690450116248
Processing generation 207000; best fitness = 0.690531972313
Processing generation 208000; best fitness = 0.690533885868
Processing generation 209000; best fitness = 0.690533885868
Processing generation 210000; best fitness = 0.690592430581
Processing generation 211000; best fitness = 0.690662735148
Processing generation 212000; best fitness = 0.690674251249
Processing generation 213000; best fitness = 0.690677942456
Processing generation 214000; best fitness = 0.691105272835
Processing generation 215000; best fitness = 0.691405195738
Processing generation 216000; best fitness = 0.691540225843
Processing generation 217000; best fitness = 0.691580566711
Processing generation 218000; best fitness = 0.691647041192
Processing generation 219000; best fitness = 0.691712976589
Processing generation 220000; best fitness = 0.691820893687
Processing generation 221000; best fitness = 0.692405332998
Processing generation 222000; best fitness = 0.692693017023
Processing generation 223000; best fitness = 0.693611524167
Processing generation 224000; best fitness = 0.694658474383
Processing generation 225000; best fitness = 0.694816845544
Processing generation 226000; best fitness = 0.694989280714
Processing generation 227000; best fitness = 0.695021212449
Processing generation 228000; best fitness = 0.695297654423
Processing generation 229000; best fitness = 0.695337520548
Processing generation 230000; best fitness = 0.695521281981
Processing generation 231000; best fitness = 0.695633356945
Processing generation 232000; best fitness = 0.695708066436
Processing generation 233000; best fitness = 0.695753404008
Processing generation 234000; best fitness = 0.695761166212
Processing generation 235000; best fitness = 0.695856327509
Processing generation 236000; best fitness = 0.695906534429
Processing generation 237000; best fitness = 0.696063741425
Processing generation 238000; best fitness = 0.696108278631
Processing generation 239000; best fitness = 0.696326247329
Processing generation 240000; best fitness = 0.696588122277
Processing generation 241000; best fitness = 0.696798737809
Processing generation 242000; best fitness = 0.696848447508
Processing generation 243000; best fitness = 0.696925742361
Processing generation 244000; best fitness = 0.696994663145
Processing generation 245000; best fitness = 0.697019135726
Processing generation 246000; best fitness = 0.697033812653
Processing generation 247000; best fitness = 0.697076244028
Processing generation 248000; best fitness = 0.698398312847
Processing generation 249000; best fitness = 0.69865734438
Processing generation 250000; best fitness = 0.698732955597
Processing generation 251000; best fitness = 0.698862530332
Processing generation 252000; best fitness = 0.698916320282
Processing generation 253000; best fitness = 0.698959730561
Processing generation 254000; best fitness = 0.699068110405
Processing generation 255000; best fitness = 0.699220552107
Processing generation 256000; best fitness = 0.699236135609
Processing generation 257000; best fitness = 0.699236135609
Processing generation 258000; best fitness = 0.699370106614
Processing generation 259000; best fitness = 0.69950192843
Processing generation 260000; best fitness = 0.699627745764
Processing generation 261000; best fitness = 0.699799329509
Processing generation 262000; best fitness = 0.69983343222
Processing generation 263000; best fitness = 0.700005925692
Processing generation 264000; best fitness = 0.700281666398
Processing generation 265000; best fitness = 0.700507136486
Processing generation 266000; best fitness = 0.701030765254
Processing generation 267000; best fitness = 0.701322860827
Processing generation 268000; best fitness = 0.701667799265
Processing generation 269000; best fitness = 0.701676090809
Processing generation 270000; best fitness = 0.701869049475
Processing generation 271000; best fitness = 0.70187213106
Processing generation 272000; best fitness = 0.701872594808
Processing generation 273000; best fitness = 0.701915331006
Processing generation 274000; best fitness = 0.702663170638
Processing generation 275000; best fitness = 0.702979105904
Processing generation 276000; best fitness = 0.702988517463
Processing generation 277000; best fitness = 0.70321897497
Processing generation 278000; best fitness = 0.7034230826
Processing generation 279000; best fitness = 0.703502178504
Processing generation 280000; best fitness = 0.704419883787
Processing generation 281000; best fitness = 0.704548868532
Processing generation 282000; best fitness = 0.704593357863
Processing generation 283000; best fitness = 0.705439877065
Processing generation 284000; best fitness = 0.705458492514
Processing generation 285000; best fitness = 0.705859070478
Processing generation 286000; best fitness = 0.706148917268
Processing generation 287000; best fitness = 0.70652032033
Processing generation 288000; best fitness = 0.706867560351
Processing generation 289000; best fitness = 0.706956884174
Processing generation 290000; best fitness = 0.708933986409
Processing generation 291000; best fitness = 0.709079233901
Processing generation 292000; best fitness = 0.70926396082
Processing generation 293000; best fitness = 0.709273617537
Processing generation 294000; best fitness = 0.709407263038
Processing generation 295000; best fitness = 0.709652383511
Processing generation 296000; best fitness = 0.710127433452
Processing generation 297000; best fitness = 0.712115577063
Processing generation 298000; best fitness = 0.712547821204
Processing generation 299000; best fitness = 0.712556417993
Processing generation 300000; best fitness = 0.712905954432
Processing generation 301000; best fitness = 0.713493935538
Processing generation 302000; best fitness = 0.713519303373
Processing generation 303000; best fitness = 0.713586530759
Processing generation 304000; best fitness = 0.713719694678
Processing generation 305000; best fitness = 0.713743995821
Processing generation 306000; best fitness = 0.713871770065
Processing generation 307000; best fitness = 0.714121894756
Processing generation 308000; best fitness = 0.714288501777
Processing generation 309000; best fitness = 0.714562829497
Processing generation 310000; best fitness = 0.71457881842
Processing generation 311000; best fitness = 0.714580829691
Processing generation 312000; best fitness = 0.714939230476
Processing generation 313000; best fitness = 0.715551144008
Processing generation 314000; best fitness = 0.715675774954
Processing generation 315000; best fitness = 0.716181742332
Processing generation 316000; best fitness = 0.716196857726
Processing generation 317000; best fitness = 0.716310640027
Processing generation 318000; best fitness = 0.716522301653
Processing generation 319000; best fitness = 0.716772238186
Processing generation 320000; best fitness = 0.716804101217
Processing generation 321000; best fitness = 0.716977766036
Processing generation 322000; best fitness = 0.717104242688
Processing generation 323000; best fitness = 0.717370434364
Processing generation 324000; best fitness = 0.71741721851
Processing generation 325000; best fitness = 0.717624044663
Processing generation 326000; best fitness = 0.717639322439
Processing generation 327000; best fitness = 0.717652751879
Processing generation 328000; best fitness = 0.717910633938
Processing generation 329000; best fitness = 0.717939723262
Processing generation 330000; best fitness = 0.717977244766
Processing generation 331000; best fitness = 0.717981757545
Processing generation 332000; best fitness = 0.718044606011
Processing generation 333000; best fitness = 0.718046544364
Processing generation 334000; best fitness = 0.71814658477
Processing generation 335000; best fitness = 0.718154077048
Processing generation 336000; best fitness = 0.718644891437
Processing generation 337000; best fitness = 0.718658958509
Processing generation 338000; best fitness = 0.718671013149
Processing generation 339000; best fitness = 0.718698599322
Processing generation 340000; best fitness = 0.718730162832
Processing generation 341000; best fitness = 0.718730353331
Processing generation 342000; best fitness = 0.718753492237
Processing generation 343000; best fitness = 0.718791937534
Processing generation 344000; best fitness = 0.718797726567
Processing generation 345000; best fitness = 0.718846272009
Processing generation 346000; best fitness = 0.718890969464
Processing generation 347000; best fitness = 0.718900892531
Processing generation 348000; best fitness = 0.718908540358
Processing generation 349000; best fitness = 0.718975411752
Processing generation 350000; best fitness = 0.718975625778
Processing generation 351000; best fitness = 0.718986587735
Processing generation 352000; best fitness = 0.71901262428
Processing generation 353000; best fitness = 0.719042004552
Processing generation 354000; best fitness = 0.719075793747
Processing generation 355000; best fitness = 0.719077082891
Processing generation 356000; best fitness = 0.719086216548
