Processing generation 145000; best fitness = 0.988768561051
Processing generation 146000; best fitness = 0.988768561051
Processing generation 147000; best fitness = 0.98893717667
Processing generation 148000; best fitness = 0.98893717667
Processing generation 149000; best fitness = 0.98900568371
Processing generation 150000; best fitness = 0.989345365954
Processing generation 151000; best fitness = 0.989357917845
Processing generation 152000; best fitness = 0.989357938342
Processing generation 153000; best fitness = 0.989507323194
Processing generation 154000; best fitness = 0.989512504763
Processing generation 155000; best fitness = 0.989512504763
Processing generation 156000; best fitness = 0.989568262214
Processing generation 157000; best fitness = 0.989583158631
Processing generation 158000; best fitness = 0.989601559275
Processing generation 159000; best fitness = 0.989668080716
Processing generation 160000; best fitness = 0.989688421803
Processing generation 161000; best fitness = 0.989688421803
Processing generation 162000; best fitness = 0.989694496156
Processing generation 163000; best fitness = 0.989953325229
Processing generation 164000; best fitness = 0.990233326622
Processing generation 165000; best fitness = 0.991235917677
Processing generation 166000; best fitness = 0.991279815032
Processing generation 167000; best fitness = 0.991444644445
Processing generation 168000; best fitness = 0.991603130646
Processing generation 169000; best fitness = 0.991603130646
Processing generation 170000; best fitness = 0.991691592488
Processing generation 171000; best fitness = 0.991908186762
Processing generation 172000; best fitness = 0.991924195928
Processing generation 173000; best fitness = 0.991924195928
Processing generation 174000; best fitness = 0.991924195928
Processing generation 175000; best fitness = 0.991924195928
Processing generation 176000; best fitness = 0.991981358908
Processing generation 177000; best fitness = 0.991981358908
Processing generation 178000; best fitness = 0.991981358908
Processing generation 179000; best fitness = 0.991981358908
Processing generation 180000; best fitness = 0.991981358908
Processing generation 181000; best fitness = 0.99199974105
Processing generation 182000; best fitness = 0.992009232892
Processing generation 183000; best fitness = 0.992009232892
Processing generation 184000; best fitness = 0.992042680687
Processing generation 185000; best fitness = 0.992180745275
Processing generation 186000; best fitness = 0.992180745275
Processing generation 187000; best fitness = 0.992191071032
Processing generation 188000; best fitness = 0.992191071032
Processing generation 189000; best fitness = 0.992303895786
Processing generation 190000; best fitness = 0.992320373769
Processing generation 191000; best fitness = 0.992326045072
Processing generation 192000; best fitness = 0.992326045072
Processing generation 193000; best fitness = 0.992435419931
Processing generation 194000; best fitness = 0.992435822388
Processing generation 195000; best fitness = 0.992588672332
Processing generation 196000; best fitness = 0.992630602086
Processing generation 197000; best fitness = 0.992630602086
Processing generation 198000; best fitness = 0.992645684705
Processing generation 199000; best fitness = 0.992645684705
Processing generation 200000; best fitness = 0.992799738463
Processing generation 201000; best fitness = 0.992799738463
Processing generation 202000; best fitness = 0.992799738463
Processing generation 203000; best fitness = 0.992799738463
Processing generation 204000; best fitness = 0.992848026316
Processing generation 205000; best fitness = 0.992848026316
Processing generation 206000; best fitness = 0.993142424244
Processing generation 207000; best fitness = 0.993142424244
Processing generation 208000; best fitness = 0.993142424244
Processing generation 209000; best fitness = 0.993192577856
Processing generation 210000; best fitness = 0.993247201213
Processing generation 211000; best fitness = 0.993339473725
Processing generation 212000; best fitness = 0.993363067203
Processing generation 213000; best fitness = 0.993363067203
Processing generation 214000; best fitness = 0.993382507262
Processing generation 215000; best fitness = 0.993394296372
Processing generation 216000; best fitness = 0.993394296372
Processing generation 217000; best fitness = 0.993394296372
Processing generation 218000; best fitness = 0.993394296372
Processing generation 219000; best fitness = 0.993394296372
Processing generation 220000; best fitness = 0.993400412283
Processing generation 221000; best fitness = 0.993400412283
Processing generation 222000; best fitness = 0.993423826271
Processing generation 223000; best fitness = 0.993423826271
Processing generation 224000; best fitness = 0.993589790229
Processing generation 225000; best fitness = 0.993626977968
Processing generation 226000; best fitness = 0.993671522907
Processing generation 227000; best fitness = 0.993681496463
Processing generation 228000; best fitness = 0.993681496463
Processing generation 229000; best fitness = 0.993681496463
Processing generation 230000; best fitness = 0.995896791776
Processing generation 231000; best fitness = 0.995905351877
Processing generation 232000; best fitness = 0.995963510383
Processing generation 233000; best fitness = 0.995992841559
Processing generation 234000; best fitness = 0.995992841559
Processing generation 235000; best fitness = 0.996129776856
Processing generation 236000; best fitness = 0.996139359596
Processing generation 237000; best fitness = 0.996387167277
Processing generation 238000; best fitness = 0.996387356008
Processing generation 239000; best fitness = 0.996399090461
Processing generation 240000; best fitness = 0.996450671333
Processing generation 241000; best fitness = 0.996610419316
Processing generation 242000; best fitness = 0.996662257519
Processing generation 243000; best fitness = 0.996709970941
Processing generation 244000; best fitness = 0.996715413262
Processing generation 245000; best fitness = 0.996715413262
Processing generation 246000; best fitness = 0.996838707155
Processing generation 247000; best fitness = 0.996838707155
Processing generation 248000; best fitness = 0.996838707155
Processing generation 249000; best fitness = 0.996888843298
Processing generation 250000; best fitness = 0.996888843298
Processing generation 251000; best fitness = 0.996888843298
Processing generation 252000; best fitness = 0.996888843298
Processing generation 253000; best fitness = 0.996978146632
Processing generation 254000; best fitness = 0.996978146632
Processing generation 255000; best fitness = 0.996978146632
Processing generation 256000; best fitness = 0.996980249795
Processing generation 257000; best fitness = 0.996980249795
Processing generation 258000; best fitness = 0.996980249795
Processing generation 259000; best fitness = 0.996980249795
Processing generation 260000; best fitness = 0.996980249795
Processing generation 261000; best fitness = 0.996980249795
Processing generation 262000; best fitness = 0.997426531671
Processing generation 263000; best fitness = 0.997475686352
Processing generation 264000; best fitness = 0.99747833594
Processing generation 265000; best fitness = 0.99748110341
Processing generation 266000; best fitness = 0.99748110341
Processing generation 267000; best fitness = 0.99753881474
Processing generation 268000; best fitness = 0.997554189273
Processing generation 269000; best fitness = 0.997866784229
Processing generation 270000; best fitness = 0.997882931087
Processing generation 271000; best fitness = 0.997885027434
Processing generation 272000; best fitness = 0.997937220639
Processing generation 273000; best fitness = 0.997942892245
Processing generation 274000; best fitness = 0.998115544146
Processing generation 275000; best fitness = 0.99815255304
Processing generation 276000; best fitness = 0.99815255304
Processing generation 277000; best fitness = 0.998155290514
Processing generation 278000; best fitness = 0.998155290514
Processing generation 279000; best fitness = 0.998155290514
Processing generation 280000; best fitness = 0.998155290514
Processing generation 281000; best fitness = 0.998333621493
Processing generation 282000; best fitness = 0.998342660359
Processing generation 283000; best fitness = 0.998384989216
Processing generation 284000; best fitness = 0.998574084101
Processing generation 285000; best fitness = 0.998574084101
Processing generation 286000; best fitness = 0.998574350933
Processing generation 287000; best fitness = 0.998574350933
Processing generation 288000; best fitness = 0.998575804464
Processing generation 289000; best fitness = 0.998607915957
Processing generation 290000; best fitness = 0.998612892368
Processing generation 291000; best fitness = 0.998612892368
Processing generation 292000; best fitness = 0.998740518632
Processing generation 293000; best fitness = 0.998740518632
Processing generation 294000; best fitness = 0.998740518632
Processing generation 295000; best fitness = 0.998740518632
Processing generation 296000; best fitness = 0.998740650476
Processing generation 297000; best fitness = 0.998749467962
Processing generation 298000; best fitness = 0.998749467962
Processing generation 299000; best fitness = 0.998749467962
Processing generation 300000; best fitness = 0.998749467962
Processing generation 301000; best fitness = 0.998766764552
Processing generation 302000; best fitness = 0.998771210177
Processing generation 303000; best fitness = 0.999048682295
Processing generation 304000; best fitness = 0.999049559289
Processing generation 305000; best fitness = 0.999178314634
Processing generation 306000; best fitness = 0.999374356448
Processing generation 307000; best fitness = 0.999374356448
Processing generation 308000; best fitness = 0.999424305799
Processing generation 309000; best fitness = 0.999424305799
Processing generation 310000; best fitness = 0.999424305799
Processing generation 311000; best fitness = 0.999637565934
Processing generation 312000; best fitness = 0.999664741902
Processing generation 313000; best fitness = 0.999664741902
Processing generation 314000; best fitness = 0.999898887376
Processing generation 315000; best fitness = 0.999956586237
Processing generation 316000; best fitness = 0.999956586237
Processing generation 317000; best fitness = 1.00371887677
Processing generation 318000; best fitness = 1.00397360696
Processing generation 319000; best fitness = 1.00401232259
Processing generation 320000; best fitness = 1.00401232259
Processing generation 321000; best fitness = 1.00401326769
Processing generation 322000; best fitness = 1.00401770555
Processing generation 323000; best fitness = 1.00401770555
Processing generation 324000; best fitness = 1.00401770555
Processing generation 325000; best fitness = 1.00401770555
Processing generation 326000; best fitness = 1.00402069685
Processing generation 327000; best fitness = 1.00402069685
Processing generation 328000; best fitness = 1.00402069685
Processing generation 329000; best fitness = 1.00441527986
Processing generation 330000; best fitness = 1.00441527986
Processing generation 331000; best fitness = 1.00450948703
Processing generation 332000; best fitness = 1.00467022417
Processing generation 333000; best fitness = 1.00484255341
Processing generation 334000; best fitness = 1.00484255341
Processing generation 335000; best fitness = 1.00484255341
Processing generation 336000; best fitness = 1.00495858861
Processing generation 337000; best fitness = 1.00511427245
Processing generation 338000; best fitness = 1.00516621305
Processing generation 339000; best fitness = 1.00559669007
Processing generation 340000; best fitness = 1.00559669007
Processing generation 341000; best fitness = 1.00559669007
Processing generation 342000; best fitness = 1.00565978979
Processing generation 343000; best fitness = 1.00565978979
Processing generation 344000; best fitness = 1.00565978979
Processing generation 345000; best fitness = 1.00579798197
Processing generation 346000; best fitness = 1.00579798197
Processing generation 347000; best fitness = 1.00584496912
Processing generation 348000; best fitness = 1.00584496912
Processing generation 349000; best fitness = 1.00584496912
Processing generation 350000; best fitness = 1.00596364617
Processing generation 351000; best fitness = 1.00598897577
Processing generation 352000; best fitness = 1.00598897577
Processing generation 353000; best fitness = 1.00598897577
Processing generation 354000; best fitness = 1.00598897577
Processing generation 355000; best fitness = 1.00599155296
Processing generation 356000; best fitness = 1.00621519452
Processing generation 357000; best fitness = 1.00622972058
Processing generation 358000; best fitness = 1.00626983032
Processing generation 359000; best fitness = 1.00629053011
Processing generation 360000; best fitness = 1.00646856344
Processing generation 361000; best fitness = 1.00646856344
Processing generation 362000; best fitness = 1.00648182646
Processing generation 363000; best fitness = 1.00648182646
Processing generation 364000; best fitness = 1.00677780339
Processing generation 365000; best fitness = 1.00679062478
Processing generation 366000; best fitness = 1.00679062478
Processing generation 367000; best fitness = 1.00679062478
Processing generation 368000; best fitness = 1.00679062478
Processing generation 369000; best fitness = 1.00679062478
Processing generation 370000; best fitness = 1.00679062478
Processing generation 371000; best fitness = 1.00679062478
Processing generation 372000; best fitness = 1.00679062478
Processing generation 373000; best fitness = 1.00679062478
Processing generation 374000; best fitness = 1.00679062478
Processing generation 375000; best fitness = 1.00679353922
Processing generation 376000; best fitness = 1.00679353922
Processing generation 377000; best fitness = 1.00679353922
Processing generation 378000; best fitness = 1.00714873151
Processing generation 379000; best fitness = 1.00714873151
Processing generation 380000; best fitness = 1.00717205697
Processing generation 381000; best fitness = 1.00717205697
Processing generation 382000; best fitness = 1.00717205697
Processing generation 383000; best fitness = 1.00717205697
Processing generation 384000; best fitness = 1.00717205697
Processing generation 385000; best fitness = 1.00717205697
Processing generation 386000; best fitness = 1.00717205697
Processing generation 387000; best fitness = 1.00717205697
Processing generation 388000; best fitness = 1.00717205697
Processing generation 389000; best fitness = 1.00717613638
Processing generation 390000; best fitness = 1.00717613638
Processing generation 391000; best fitness = 1.00717613638
Processing generation 392000; best fitness = 1.00717613638
Processing generation 393000; best fitness = 1.00717613638
Processing generation 394000; best fitness = 1.00720846525
Processing generation 395000; best fitness = 1.00787855599
Processing generation 396000; best fitness = 1.00787855599
Processing generation 397000; best fitness = 1.00787855599
Processing generation 398000; best fitness = 1.00787855599
Processing generation 399000; best fitness = 1.00788596733
Processing generation 400000; best fitness = 1.00788596733
Processing generation 401000; best fitness = 1.0078950261
Processing generation 402000; best fitness = 1.0078950261
Processing generation 403000; best fitness = 1.008185155
Processing generation 404000; best fitness = 1.008185155
Processing generation 405000; best fitness = 1.00820764479
Processing generation 406000; best fitness = 1.00820764479
Processing generation 407000; best fitness = 1.00853201299
Processing generation 408000; best fitness = 1.00860013965
Processing generation 409000; best fitness = 1.00860298777
Processing generation 410000; best fitness = 1.00861029826
Processing generation 411000; best fitness = 1.00863639789
Processing generation 412000; best fitness = 1.00867844223
Processing generation 413000; best fitness = 1.00867855606
Processing generation 414000; best fitness = 1.00869084774
Processing generation 415000; best fitness = 1.00872328396
Processing generation 416000; best fitness = 1.00908905605
Processing generation 417000; best fitness = 1.00909196355
Processing generation 418000; best fitness = 1.00909249037
Processing generation 419000; best fitness = 1.00909249037
Processing generation 420000; best fitness = 1.00909316574
Processing generation 421000; best fitness = 1.00925337107
Processing generation 422000; best fitness = 1.00925337107
Processing generation 423000; best fitness = 1.00934696544
Processing generation 424000; best fitness = 1.00934804776
Processing generation 425000; best fitness = 1.0096178366
Processing generation 426000; best fitness = 1.0096178366
Processing generation 427000; best fitness = 1.00961905629
Processing generation 428000; best fitness = 1.00965136986
Processing generation 429000; best fitness = 1.00983538586
Processing generation 430000; best fitness = 1.00997046062
Processing generation 431000; best fitness = 1.01001345358
Processing generation 432000; best fitness = 1.01003916399
Processing generation 433000; best fitness = 1.01003916399
Processing generation 434000; best fitness = 1.01003916399
Processing generation 435000; best fitness = 1.010060089
Processing generation 436000; best fitness = 1.010060089
Processing generation 437000; best fitness = 1.010060089
Processing generation 438000; best fitness = 1.01038579057
Processing generation 439000; best fitness = 1.01038579057
Processing generation 440000; best fitness = 1.01038842245
Processing generation 441000; best fitness = 1.01038842245
Processing generation 442000; best fitness = 1.01038842245
Processing generation 443000; best fitness = 1.01038842245
Processing generation 444000; best fitness = 1.01039358708
Processing generation 445000; best fitness = 1.01039704701
Processing generation 446000; best fitness = 1.01039704701
Processing generation 447000; best fitness = 1.01039823072
Processing generation 448000; best fitness = 1.01039823072
Processing generation 449000; best fitness = 1.01039823072
Processing generation 450000; best fitness = 1.01042558435
Processing generation 451000; best fitness = 1.01043121515
Processing generation 452000; best fitness = 1.01043121515
Processing generation 453000; best fitness = 1.01044093402
Processing generation 454000; best fitness = 1.01052329624
Processing generation 455000; best fitness = 1.01052329624
Processing generation 456000; best fitness = 1.01133898173
Processing generation 457000; best fitness = 1.01133898173
Processing generation 458000; best fitness = 1.01133898173
Processing generation 459000; best fitness = 1.01133898173
Processing generation 460000; best fitness = 1.01133898173
Processing generation 461000; best fitness = 1.01152061793
Processing generation 462000; best fitness = 1.01160375687
Processing generation 463000; best fitness = 1.01160375687
Processing generation 464000; best fitness = 1.01160375687
Processing generation 465000; best fitness = 1.01163430923
Processing generation 466000; best fitness = 1.01163430923
Processing generation 467000; best fitness = 1.01174968281
Processing generation 468000; best fitness = 1.0117588478
Processing generation 469000; best fitness = 1.0117588478
Processing generation 470000; best fitness = 1.0117588478
Processing generation 471000; best fitness = 1.0117588478
Processing generation 472000; best fitness = 1.0117588478
Processing generation 473000; best fitness = 1.01175887825
Processing generation 474000; best fitness = 1.01175887825
Processing generation 475000; best fitness = 1.01179130739
Processing generation 476000; best fitness = 1.01179930361
Processing generation 477000; best fitness = 1.01179930361
Processing generation 478000; best fitness = 1.01180800833
Processing generation 479000; best fitness = 1.01180800833
Processing generation 480000; best fitness = 1.01180800833
Processing generation 481000; best fitness = 1.01180800833
Processing generation 482000; best fitness = 1.01180800833
Processing generation 483000; best fitness = 1.01180800833
Processing generation 484000; best fitness = 1.01181285787
Processing generation 485000; best fitness = 1.01182786436
Processing generation 486000; best fitness = 1.01182786436
Processing generation 487000; best fitness = 1.01182786436
Processing generation 488000; best fitness = 1.01184459457
Processing generation 489000; best fitness = 1.01184459457
Processing generation 490000; best fitness = 1.01184459457
Processing generation 491000; best fitness = 1.01184459457
Processing generation 492000; best fitness = 1.01184459457
Processing generation 493000; best fitness = 1.01184459457
Processing generation 494000; best fitness = 1.01219752687
Processing generation 495000; best fitness = 1.01219752687
Processing generation 496000; best fitness = 1.01219812865
Processing generation 497000; best fitness = 1.01219812865
Processing generation 498000; best fitness = 1.01219812865
Processing generation 499000; best fitness = 1.01219812865
Processing generation 500000; best fitness = 1.0122968851
